start model 0
C:\Users\dozen\AppData\Local\Programs\Python\Python38\lib\site-packages\torch\autograd\__init__.py:130: UserWarning: CUDA initialization: Found no NVIDIA driver on your system. Please check that you have an NVIDIA GPU and installed a driver from http://www.nvidia.com/Download/index.aspx (Triggered internally at  ..\c10\cuda\CUDAFunctions.cpp:100.)
  Variable._execution_engine.run_backward(
0 Average Val Loss: 0.0823, Val Accuracy: 4098/4200 (97.571%)
1 Average Val Loss: 0.0509, Val Accuracy: 4132/4200 (98.381%)
2 Average Val Loss: 0.0380, Val Accuracy: 4153/4200 (98.881%)
3 Average Val Loss: 0.0338, Val Accuracy: 4155/4200 (98.929%)
4 Average Val Loss: 0.0246, Val Accuracy: 4174/4200 (99.381%)
5 Average Val Loss: 0.0260, Val Accuracy: 4167/4200 (99.214%)
6 Average Val Loss: 0.0320, Val Accuracy: 4159/4200 (99.024%)
7 Average Val Loss: 0.0246, Val Accuracy: 4169/4200 (99.262%)
8 Average Val Loss: 0.0212, Val Accuracy: 4175/4200 (99.405%)
9 Average Val Loss: 0.0203, Val Accuracy: 4175/4200 (99.405%)
10 Average Val Loss: 0.0195, Val Accuracy: 4179/4200 (99.500%)
11 Average Val Loss: 0.0183, Val Accuracy: 4178/4200 (99.476%)
12 Average Val Loss: 0.0187, Val Accuracy: 4179/4200 (99.500%)
13 Average Val Loss: 0.0193, Val Accuracy: 4180/4200 (99.524%)
14 Average Val Loss: 0.0195, Val Accuracy: 4177/4200 (99.452%)
15 Average Val Loss: 0.0202, Val Accuracy: 4179/4200 (99.500%)
16 Average Val Loss: 0.0192, Val Accuracy: 4179/4200 (99.500%)
17 Average Val Loss: 0.0178, Val Accuracy: 4181/4200 (99.548%)
18 Average Val Loss: 0.0201, Val Accuracy: 4177/4200 (99.452%)
19 Average Val Loss: 0.0195, Val Accuracy: 4177/4200 (99.452%)
20 Average Val Loss: 0.0182, Val Accuracy: 4179/4200 (99.500%)
21 Average Val Loss: 0.0174, Val Accuracy: 4179/4200 (99.500%)
22 Average Val Loss: 0.0181, Val Accuracy: 4179/4200 (99.500%)
23 Average Val Loss: 0.0177, Val Accuracy: 4178/4200 (99.476%)
24 Average Val Loss: 0.0181, Val Accuracy: 4181/4200 (99.548%)
25 Average Val Loss: 0.0183, Val Accuracy: 4179/4200 (99.500%)
26 Average Val Loss: 0.0186, Val Accuracy: 4178/4200 (99.476%)
27 Average Val Loss: 0.0183, Val Accuracy: 4178/4200 (99.476%)
28 Average Val Loss: 0.0180, Val Accuracy: 4179/4200 (99.500%)
29 Average Val Loss: 0.0175, Val Accuracy: 4180/4200 (99.524%)
30 Average Val Loss: 0.0181, Val Accuracy: 4179/4200 (99.500%)
31 Average Val Loss: 0.0180, Val Accuracy: 4179/4200 (99.500%)
32 Average Val Loss: 0.0181, Val Accuracy: 4179/4200 (99.500%)
33 Average Val Loss: 0.0183, Val Accuracy: 4179/4200 (99.500%)
34 Average Val Loss: 0.0183, Val Accuracy: 4179/4200 (99.500%)
35 Average Val Loss: 0.0186, Val Accuracy: 4179/4200 (99.500%)
36 Average Val Loss: 0.0181, Val Accuracy: 4179/4200 (99.500%)
37 Average Val Loss: 0.0178, Val Accuracy: 4179/4200 (99.500%)
38 Average Val Loss: 0.0181, Val Accuracy: 4179/4200 (99.500%)
39 Average Val Loss: 0.0175, Val Accuracy: 4180/4200 (99.524%)
40 Average Val Loss: 0.0180, Val Accuracy: 4179/4200 (99.500%)
41 Average Val Loss: 0.0179, Val Accuracy: 4179/4200 (99.500%)
42 Average Val Loss: 0.0180, Val Accuracy: 4179/4200 (99.500%)
43 Average Val Loss: 0.0180, Val Accuracy: 4180/4200 (99.524%)
44 Average Val Loss: 0.0184, Val Accuracy: 4179/4200 (99.500%)
45 Average Val Loss: 0.0181, Val Accuracy: 4179/4200 (99.500%)
46 Average Val Loss: 0.0185, Val Accuracy: 4179/4200 (99.500%)
47 Average Val Loss: 0.0182, Val Accuracy: 4179/4200 (99.500%)
48 Average Val Loss: 0.0183, Val Accuracy: 4180/4200 (99.524%)
49 Average Val Loss: 0.0180, Val Accuracy: 4179/4200 (99.500%)
50 Average Val Loss: 0.0179, Val Accuracy: 4180/4200 (99.524%)
51 Average Val Loss: 0.0179, Val Accuracy: 4179/4200 (99.500%)
52 Average Val Loss: 0.0186, Val Accuracy: 4179/4200 (99.500%)
53 Average Val Loss: 0.0181, Val Accuracy: 4180/4200 (99.524%)
54 Average Val Loss: 0.0180, Val Accuracy: 4179/4200 (99.500%)
55 Average Val Loss: 0.0182, Val Accuracy: 4179/4200 (99.500%)
56 Average Val Loss: 0.0183, Val Accuracy: 4179/4200 (99.500%)
57 Average Val Loss: 0.0181, Val Accuracy: 4180/4200 (99.524%)
58 Average Val Loss: 0.0181, Val Accuracy: 4179/4200 (99.500%)
59 Average Val Loss: 0.0182, Val Accuracy: 4179/4200 (99.500%)
60 Average Val Loss: 0.0181, Val Accuracy: 4179/4200 (99.500%)
61 Average Val Loss: 0.0184, Val Accuracy: 4179/4200 (99.500%)
62 Average Val Loss: 0.0180, Val Accuracy: 4179/4200 (99.500%)
63 Average Val Loss: 0.0185, Val Accuracy: 4179/4200 (99.500%)
64 Average Val Loss: 0.0180, Val Accuracy: 4179/4200 (99.500%)
65 Average Val Loss: 0.0179, Val Accuracy: 4180/4200 (99.524%)
66 Average Val Loss: 0.0182, Val Accuracy: 4179/4200 (99.500%)
67 Average Val Loss: 0.0181, Val Accuracy: 4179/4200 (99.500%)
68 Average Val Loss: 0.0182, Val Accuracy: 4179/4200 (99.500%)
69 Average Val Loss: 0.0183, Val Accuracy: 4179/4200 (99.500%)
70 Average Val Loss: 0.0177, Val Accuracy: 4179/4200 (99.500%)
71 Average Val Loss: 0.0178, Val Accuracy: 4179/4200 (99.500%)
72 Average Val Loss: 0.0177, Val Accuracy: 4179/4200 (99.500%)
73 Average Val Loss: 0.0182, Val Accuracy: 4179/4200 (99.500%)
74 Average Val Loss: 0.0186, Val Accuracy: 4178/4200 (99.476%)
75 Average Val Loss: 0.0187, Val Accuracy: 4180/4200 (99.524%)
76 Average Val Loss: 0.0183, Val Accuracy: 4179/4200 (99.500%)
77 Average Val Loss: 0.0182, Val Accuracy: 4179/4200 (99.500%)
78 Average Val Loss: 0.0182, Val Accuracy: 4179/4200 (99.500%)
79 Average Val Loss: 0.0183, Val Accuracy: 4179/4200 (99.500%)
80 Average Val Loss: 0.0182, Val Accuracy: 4179/4200 (99.500%)
81 Average Val Loss: 0.0185, Val Accuracy: 4179/4200 (99.500%)
82 Average Val Loss: 0.0185, Val Accuracy: 4178/4200 (99.476%)
83 Average Val Loss: 0.0184, Val Accuracy: 4179/4200 (99.500%)
84 Average Val Loss: 0.0179, Val Accuracy: 4179/4200 (99.500%)
85 Average Val Loss: 0.0182, Val Accuracy: 4179/4200 (99.500%)
86 Average Val Loss: 0.0186, Val Accuracy: 4179/4200 (99.500%)
87 Average Val Loss: 0.0178, Val Accuracy: 4179/4200 (99.500%)
88 Average Val Loss: 0.0178, Val Accuracy: 4179/4200 (99.500%)
89 Average Val Loss: 0.0183, Val Accuracy: 4179/4200 (99.500%)
90 Average Val Loss: 0.0183, Val Accuracy: 4179/4200 (99.500%)
91 Average Val Loss: 0.0183, Val Accuracy: 4179/4200 (99.500%)
92 Average Val Loss: 0.0180, Val Accuracy: 4180/4200 (99.524%)
